Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
3888,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
3889,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
3890,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
3891,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
3892,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
3893,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
3894,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
3895,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
3896,Common Cold,Sneezing, Runny nose, Sore throat, Cough
3897,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
3898,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
3899,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
3900,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
3901,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
3902,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
3903,Dermatitis,Itching, Redness, Swelling, Skin irritation
3904,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
3905,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
3906,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
3907,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
3908,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
3909,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
3910,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
3911,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
3912,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
3913,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
3914,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
3915,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
3916,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
3917,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
3918,Gout,Joint pain, Redness, Swelling, Warmth
3919,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
3920,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
3921,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
3922,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
3923,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
3924,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
3925,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
3926,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
3927,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
3928,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
3929,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
3930,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
3931,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
3932,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
3933,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
3934,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
3935,Impetigo,Red sores, Itching, Blisters, Skin crusting
3936,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
3937,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
3938,Influenza,Fever, Chills, Body aches, Sore throat
3939,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
3940,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
3941,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
3942,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
3943,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
3944,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
3945,Malaria,High fever, Chills, Sweating, Muscle pain
3946,Measles,Fever, Rash, Cough, Runny nose
3947,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
3948,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
3949,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
3950,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
3951,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
3952,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
3953,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
3954,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
3955,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
3956,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
3957,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
3958,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
3959,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
3960,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
3961,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
3962,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
3963,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
3964,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
3965,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
3966,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
3967,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
3968,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
3969,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
3970,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
3971,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
3972,Typhoid,High fever, Weakness, Abdominal pain, Rash
3973,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
3974,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
3975,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
3976,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
3977,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
3978,AIDS,Fever, Fatigue, Weight loss, Frequent infections
3979,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
3980,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
3981,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
3982,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
3983,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
3984,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
3985,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
3986,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
3987,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
3988,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
3989,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
3990,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
3991,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
3992,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
3993,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
3994,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
3995,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
3996,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
3997,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
3998,Common Cold,Sneezing, Runny nose, Sore throat, Cough
3999,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
4000,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
4001,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
4002,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
4003,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
4004,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
4005,Dermatitis,Itching, Redness, Swelling, Skin irritation
4006,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
4007,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
4008,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
4009,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
4010,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
4011,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
4012,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
4013,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
4014,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
4015,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
4016,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
4017,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
4018,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
4019,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
4020,Gout,Joint pain, Redness, Swelling, Warmth
4021,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
4022,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
4023,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
4024,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
4025,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
4026,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
4027,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
4028,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
4029,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
4030,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
4031,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
4032,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
4033,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
4034,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
4035,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
4036,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
4037,Impetigo,Red sores, Itching, Blisters, Skin crusting
4038,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
4039,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
4040,Influenza,Fever, Chills, Body aches, Sore throat
4041,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
4042,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
4043,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
4044,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
4045,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
4046,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
4047,Malaria,High fever, Chills, Sweating, Muscle pain
4048,Measles,Fever, Rash, Cough, Runny nose
4049,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
4050,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
4051,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
4052,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
4053,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
4054,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
4055,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
4056,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
4057,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
4058,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
4059,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
4060,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
4061,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
4062,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
4063,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
4064,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
4065,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
4066,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
4067,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
4068,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
4069,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
4070,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
4071,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
4072,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
4073,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
4074,Typhoid,High fever, Weakness, Abdominal pain, Rash
4075,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
4076,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
4077,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
4078,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
4079,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
4080,AIDS,Fever, Fatigue, Weight loss, Frequent infections
4081,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
4082,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
4083,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
4084,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
4085,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
4086,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
4087,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
4088,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
4089,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
4090,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
4091,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
4092,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
4093,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
4094,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
4095,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
4096,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
4097,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
4098,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
4099,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
4100,Common Cold,Sneezing, Runny nose, Sore throat, Cough
4101,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
4102,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
4103,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
4104,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
4105,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
4106,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
4107,Dermatitis,Itching, Redness, Swelling, Skin irritation
4108,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
4109,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
4110,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
4111,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
4112,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
4113,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
4114,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
4115,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
4116,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
4117,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
4118,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
4119,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
4120,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
4121,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
4122,Gout,Joint pain, Redness, Swelling, Warmth
4123,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
4124,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
4125,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
4126,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
4127,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
4128,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
4129,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
4130,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
4131,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
4132,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
4133,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
4134,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
4135,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
4136,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
4137,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
4138,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
4139,Impetigo,Red sores, Itching, Blisters, Skin crusting
4140,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
4141,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
4142,Influenza,Fever, Chills, Body aches, Sore throat
4143,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
4144,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
4145,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
4146,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
4147,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
4148,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
4149,Malaria,High fever, Chills, Sweating, Muscle pain
4150,Measles,Fever, Rash, Cough, Runny nose
4151,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
4152,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
4153,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
4154,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
4155,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
4156,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
4157,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
4158,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
4159,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
4160,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
4161,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
4162,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
4163,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
4164,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
4165,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
4166,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
4167,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
4168,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
4169,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
4170,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
4171,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
4172,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
4173,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
4174,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
4175,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
4176,Typhoid,High fever, Weakness, Abdominal pain, Rash
4177,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
4178,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
4179,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
4180,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
4181,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
4182,AIDS,Fever, Fatigue, Weight loss, Frequent infections
4183,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
4184,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
4185,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
4186,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
4187,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
4188,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
4189,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
4190,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
4191,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
4192,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
4193,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
4194,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
4195,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
4196,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
4197,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
4198,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
4199,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
4200,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
4201,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
4202,Common Cold,Sneezing, Runny nose, Sore throat, Cough
4203,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
4204,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
4205,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
4206,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
4207,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
4208,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
4209,Dermatitis,Itching, Redness, Swelling, Skin irritation
4210,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
4211,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
4212,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
4213,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
4214,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
4215,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
4216,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
4217,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
4218,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
4219,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
4220,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
4221,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
4222,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
4223,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
4224,Gout,Joint pain, Redness, Swelling, Warmth
4225,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
4226,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
4227,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
4228,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
4229,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
4230,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
4231,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
4232,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
4233,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
4234,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
4235,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
4236,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
4237,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
4238,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
4239,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
4240,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
4241,Impetigo,Red sores, Itching, Blisters, Skin crusting
4242,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
4243,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
4244,Influenza,Fever, Chills, Body aches, Sore throat
4245,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
4246,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
4247,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
4248,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
4249,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
4250,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
4251,Malaria,High fever, Chills, Sweating, Muscle pain
4252,Measles,Fever, Rash, Cough, Runny nose
4253,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
4254,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
4255,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
4256,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
4257,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
4258,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
4259,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
4260,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
4261,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
4262,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
4263,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
4264,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
4265,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
4266,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
4267,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
4268,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
4269,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
4270,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
4271,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
